Stock,Mu (Drift)_During-GDPR,Mu (Drift)_Post-GDPR,Mu (Drift)_Pre-GDPR,Sigma (Volatility)_During-GDPR,Sigma (Volatility)_Post-GDPR,Sigma (Volatility)_Pre-GDPR
denoised_ASML,0.059764427491840535,0.013249343823967889,-0.23541914282859436,0.18922157905355924,0.21075014539606982,0.2371945440495686
denoised_ATOS,0.10928047147777817,-0.3274873871596669,0.32890119855025307,0.17850359678065092,0.4103371080736174,0.17770502040112576
denoised_Dassault,-0.013809515902324179,-0.06537868828731176,0.15938842191685548,0.1560929956534342,0.2276691247448081,0.1650816152999115
denoised_Ericcson,-0.05486798756904116,0.17117898062968134,-0.1871807771011812,0.3226354881423117,0.24331720152294936,0.2385440979564006
denoised_HexagonAB,0.028749426968146728,-0.14138930342824987,0.19921427677006553,0.17266488103511704,0.21983241494672243,0.17523367456091915
denoised_Infineon,0.08209311554668466,-0.25579369951186826,0.2710374435467847,0.20815430047764064,0.27480506339492605,0.2730543778389324
denoised_SAP,-0.023316434112894063,-0.020804233788732893,0.11344023524801199,0.12070610779749699,0.19103724136275826,0.12434914414440225
denoised_STM,0.2440942095696663,-0.15530646967537298,-0.47246004253867185,0.296937193207041,0.3315170182123709,0.31496632565475347
denoised_Vodafone,0.018668847868462218,-0.11010510221630249,0.1601932492712767,0.16386025841089558,0.2207786705702521,0.17763872286200552
